noisy_pesq,enhanced_pesq,pesq_improvement,noisy_stoi,enhanced_stoi,stoi_improvement,noisy_snr,enhanced_snr,snr_improvement,noisy_mse,enhanced_mse,mse_improvement,file_id,duration
2.925391435623169,1.0473655462265015,-1.8780258893966675,0.8942388356282878,0.5816285346766272,-0.31261030095166054,15.649299,-0.67356557,-16.322865,0.00022514025,0.00965472,-0.00942958,p232_001,1.728
3.0594966411590576,1.0292809009552002,-2.0302157402038574,0.9693744574156018,0.5829388898341779,-0.38643556758142394,11.312859,-0.5284367,-11.841295,0.00060546503,0.009251638,-0.008646173,p232_002,2.704
2.8130621910095215,1.0289952754974365,-1.784066915512085,0.9709258611051349,0.6263510692696946,-0.34457479183544026,6.714982,-1.3368144,-8.051796,0.0010583703,0.006757986,-0.0056996155,p232_003,7.184
1.332374095916748,1.023566722869873,-0.308807373046875,0.8819449939302374,0.5577835790639968,-0.3241614148662406,1.8530542,-0.9146861,-2.7677402,0.004300511,0.008133811,-0.0038333,p232_005,6.24
2.2091543674468994,1.0291563272476196,-1.1799980401992798,0.9651796044219428,0.5751957581048837,-0.3899838463170592,16.884998,-1.6730075,-18.558006,8.518293e-05,0.0061115827,-0.0060264,p232_006,5.088
1.5575300455093384,1.027681827545166,-0.5298482179641724,0.9369429487671775,0.5509147780862925,-0.386028170680885,11.817005,-1.278553,-13.095558,0.00035907063,0.007323788,-0.0069647175,p232_007,3.952
1.8130426406860352,1.0285043716430664,-0.7845382690429688,0.9611868965843842,0.5686547380457648,-0.39253215853861934,6.7867475,-0.6433265,-7.4300737,0.0017608366,0.0097437585,-0.007982922,p232_009,4.144
1.2114908695220947,1.0548704862594604,-0.15662038326263428,0.7875182679850553,0.5783975671169508,-0.20912070086810453,0.9447193,-1.6310995,-2.5758188,0.0046410365,0.008398405,-0.0037573688,p232_010,2.752
2.733285427093506,1.029260277748108,-1.704025149345398,0.9652615611889137,0.5383436393403506,-0.42691792184856314,16.852037,-0.81696975,-17.669006,0.00014249943,0.008331327,-0.008188827,p232_011,6.528
2.0426695346832275,1.0222229957580566,-1.020446538925171,0.9654095429939656,0.5644906196052742,-0.4009189233886914,11.919217,-2.1084864,-14.027703,0.00022302128,0.005637894,-0.0054148724,p232_012,4.32
1.417925477027893,1.0286014080047607,-0.3893240690231323,0.9445882939749619,0.5801704243259754,-0.3644178696489865,6.7990947,-0.864058,-7.6631527,0.0014507873,0.0084706955,-0.007019908,p232_013,3.936
1.2718678712844849,1.024867296218872,-0.2470005750656128,0.9107236260506291,0.5324707099502999,-0.3782529161003292,2.0165942,-1.9402479,-3.956842,0.002614835,0.006503221,-0.003888386,p232_014,4.608
3.6354548931121826,1.0261597633361816,-2.609295129776001,0.9946405277675163,0.5735882781013858,-0.42105224966613053,16.948965,-0.749629,-17.698593,0.00013438065,0.007910365,-0.0077759847,p232_015,5.312
3.3708231449127197,1.0245758295059204,-2.3462473154067993,0.9903439345494165,0.5832841500112552,-0.4070597845381613,11.989423,-1.0392845,-13.0287075,0.0003459193,0.006947773,-0.0066018538,p232_016,5.568
2.776461362838745,1.0313084125518799,-1.7451529502868652,0.9904614525094979,0.569864407313617,-0.4205970451958809,6.4343395,-2.0038297,-8.4381695,0.0008645828,0.0060342536,-0.005169671,p232_017,2.88
2.2011396884918213,1.0264531373977661,-1.1746865510940552,0.979604018368847,0.5874653547307903,-0.3921386636380567,2.0520644,-1.8087589,-3.8608232,0.0024575768,0.005978462,-0.003520885,p232_019,6.72
2.894702672958374,1.03976571559906,-1.854936957359314,0.9585695748080718,0.5667510534710241,-0.39181852133704775,16.235508,-1.6126114,-17.84812,0.000104422674,0.0063621984,-0.0062577757,p232_020,3.616
2.596649408340454,1.0242325067520142,-1.57241690158844,0.9763591715224058,0.5815387531237955,-0.39482041839861026,11.911207,-1.010297,-12.921504,0.00037750645,0.007397328,-0.0070198216,p232_021,8.496
1.647121787071228,1.0217554569244385,-0.6253663301467896,0.9699218089350102,0.5558901613546876,-0.4140316475803226,7.0067573,-2.4141555,-9.420913,0.000613438,0.0053686127,-0.0047551747,p232_022,5.792
1.3093793392181396,1.0243275165557861,-0.2850518226623535,0.9365607346136662,0.563305336615094,-0.3732553979985722,1.9745984,-1.7465706,-3.721169,0.0028133641,0.006627395,-0.0038140307,p232_023,9.76
